,order_id,date_id,product_id,sales,quantities,customer_id
0,PT8bdBUR2wmbhBRhoxqAmq,2023-09-08,4f9ff017-e8f3-4440-ab79-22565a6e8643,19.950000000000003,5,39
1,dmR8DUuVVAUgAUVELowcX9,2023-04-23,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,55.86,14,29
2,dK8vqPQ7u9qtCA3hL6YHho,2023-03-26,4f9ff017-e8f3-4440-ab79-22565a6e8643,51.870000000000005,13,15
3,ZzQ7JQ5CHeU8w4W6voiL7k,2023-04-18,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,17.94,6,8
4,Tj59aFTvqTcgufvjaksFkU,2023-11-07,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,5.98,2,21
5,BTc3k5c9Suj6MbeujJkCSe,2023-02-13,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,23.94,6,39
6,AhxcmNqZzi8VbjoHziYAGJ,2023-03-08,697abb1a-56d9-487b-ab20-9c80923767ff,9.95,5,19
7,EvhD4MgSbGnMCA58UmS76Q,2023-08-06,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,31.92,8,23
8,PhgC5isDVuEPykpSfzMs2U,2023-06-01,4f9ff017-e8f3-4440-ab79-22565a6e8643,7.98,2,11
9,m29EWiygfh3eTYDpWxP9H7,2023-08-08,4f9ff017-e8f3-4440-ab79-22565a6e8643,19.950000000000003,5,11
10,5pYNDTbXxrbjoUmfWuAvYi,2023-08-14,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,23.92,8,24
11,gxedLTpMh5BuZPh2DKCuVS,2023-01-04,697abb1a-56d9-487b-ab20-9c80923767ff,23.88,12,36
12,CpbaPn7L8d7Ga2ecw5fapu,2023-08-13,4f9ff017-e8f3-4440-ab79-22565a6e8643,31.92,8,24
13,CpMTmTQd2fQLTXMtpRh3VA,2023-04-18,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,23.94,6,3
14,TA5D5ibDXbtCVxzxRTViYf,2023-11-16,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,35.88,12,22
15,2PdEFVBPz5CgmquxAyGsbE,2023-11-17,697abb1a-56d9-487b-ab20-9c80923767ff,11.94,6,2
16,7rLunhVkGae4z5jvc3CTZd,2023-05-22,4f9ff017-e8f3-4440-ab79-22565a6e8643,55.86,14,24
17,Ef3sto5wMXqakgcDw7NxhQ,2023-03-24,119dc1cf-f401-4edf-a5d8-426acc2fb6b3,95.84,16,30
18,mqG9LDek8GgSghvkCEAMoc,2023-08-21,c37bb616-f759-4ad3-b401-81ab4666ef7f,17.91,9,38
19,n85bjHsPoWNqhoNV7FrmWC,2023-04-07,4f9ff017-e8f3-4440-ab79-22565a6e8643,75.81,19,2
20,hEU7UPN9QFEFoDyhcVNcFQ,2023-03-05,119dc1cf-f401-4edf-a5d8-426acc2fb6b3,95.84,16,21
21,RsJPFKhWm2HER98YQbSN6U,2023-06-11,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,71.82000000000001,18,33
22,KQAeqsan8ovpduVpMLGRDA,2023-04-06,4f9ff017-e8f3-4440-ab79-22565a6e8643,7.98,2,12
23,2uzjXxRZoTR9Hd3ziydBjD,2023-02-28,c37bb616-f759-4ad3-b401-81ab4666ef7f,27.86,14,22
24,D7fCjcDQZrQ9ZFfhaMM5aX,2023-02-18,119dc1cf-f401-4edf-a5d8-426acc2fb6b3,5.99,1,25
25,jzoeCKCsLnZQ9EatXK7fWY,2023-08-15,4f9ff017-e8f3-4440-ab79-22565a6e8643,27.93,7,27
26,RUMruKGeupEoXwJ6pGQSY6,2023-08-16,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,29.900000000000002,10,28
27,8UobZ9hJ7fgUk7bmnvTFtc,2023-08-22,c37bb616-f759-4ad3-b401-81ab4666ef7f,33.83,17,16
28,5aSfyFQE6izo8BNJvkb6LZ,2023-06-20,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,38.870000000000005,13,15
29,CH4NVMZupkLeDcKchBPodN,2023-01-25,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,5.98,2,3
30,Trf9gBTyAJC3N5SvmyighC,2023-10-22,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,35.910000000000004,9,37
31,asrLEU3ZsDsXP5zARVH833,2023-06-15,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,50.830000000000005,17,7
32,VxRwtdoPLtxLzcuaEtQkEq,2023-11-09,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,47.84,16,21
33,VBWiMzZ2dkdf8YwNYQuECp,2023-08-15,119dc1cf-f401-4edf-a5d8-426acc2fb6b3,107.82000000000001,18,9
34,Kwy22qpbv2UpkQyZinyQro,2023-08-13,697abb1a-56d9-487b-ab20-9c80923767ff,29.85,15,39
35,85KQb9t8Yo8K5kUWee7WL3,2023-02-20,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,27.93,7,18
36,Ag54XqgQnVhicEnxLEaoiG,2023-01-11,c37bb616-f759-4ad3-b401-81ab4666ef7f,3.98,2,4
37,8af7rDcZR6PBnc9JsLJke7,2023-11-08,ec92ca2f-b936-47c0-964a-9537f2d2ee7c,43.89,11,25
38,3iyFj2apyCctNtAmfGyhqW,2023-10-02,119dc1cf-f401-4edf-a5d8-426acc2fb6b3,83.86,14,14
39,j9z7Y5qpqwznvZenjXkVAA,2023-09-25,697abb1a-56d9-487b-ab20-9c80923767ff,25.87,13,9
40,a87xXZdQHLK25kveAupkZS,2023-06-26,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,8.97,3,26
41,KGsDNeJSgJ8iioYhzDBUGD,2023-04-08,697abb1a-56d9-487b-ab20-9c80923767ff,7.96,4,2
42,P8P5hSsQ97Kk9FeNSMgw3i,2023-06-04,cdb7b653-0349-49a7-9052-ddbfad9ed0a0,2.99,1,20
